pmts,acc,dev,cal,mu,train_ind
5085.1108669304,1,1,1,71653.1310573789,TRUE
1023324.68261979,1,2,2,1042575.10480411,TRUE
153229.049418811,1,3,3,4359245.21754094,TRUE
7278834.19615915,1,4,4,10936724.7513461,TRUE
26344770.9888797,1,5,5,20736641.8093208,TRUE
15515256.72827,1,6,6,32930466.0165247,TRUE
65410730.7601833,1,7,7,46267316.7141047,TRUE
78097051.5856792,1,8,8,59426396.3523266,TRUE
56896015.1828845,1,9,9,71265598.1425937,TRUE
93747033.4128585,1,10,10,80953376.2342129,TRUE
75787573.9332374,1,11,11,88005295.3032258,TRUE
99637679.5342423,1,12,12,92256661.5266706,TRUE
74354046.977067,1,13,13,93379311.3658941,TRUE
54525272.5283906,1,14,14,92172639.5407924,TRUE
70755794.8557414,1,15,15,89035029.3957728,TRUE
61388798.843548,1,16,16,84399019.1679375,TRUE
64534815.7416555,1,17,17,78689211.6903614,TRUE
91533278.722147,1,18,18,72294192.9123203,TRUE
100606110.221311,1,19,19,65550258.25773,TRUE
65324413.083831,1,20,20,58734306.2595582,TRUE
40362783.8440066,1,21,21,52063329.6310048,TRUE
47571903.3441177,1,22,22,45698268.5566862,TRUE
26853011.370008,1,23,23,39750428.142773,TRUE
27455660.3012734,1,24,24,34289104.7872841,TRUE
12793767.8592732,1,25,25,29203081.9712625,TRUE
10507315.1187456,1,26,26,24699474.2104513,TRUE
25725071.8074685,1,27,27,20756815.6891737,TRUE
18608623.3178176,1,28,28,17340053.6696498,TRUE
7128630.40827732,1,29,29,14405826.3787252,TRUE
8442985.31536222,1,30,30,11906574.6644741,TRUE
13913510.7373356,1,31,31,9793620.99291798,TRUE
4718802.71662759,1,32,32,8019372.9207958,TRUE
3742076.59338217,1,33,33,6541158.82426508,TRUE
9513705.0116072,1,34,34,5315316.53449257,TRUE
1319706.13681267,1,35,35,4303255.76738871,TRUE
4022223.38790595,1,36,36,3471232.76363091,TRUE
2219010.05598147,1,37,37,2790013.33284154,TRUE
2570810.64418476,1,38,38,2234474.80648271,TRUE
526385.201445991,1,39,39,1783183.03447134,TRUE
286782.712850892,1,40,40,1417969.43778268,TRUE
28211.7552509193,2,1,2,79785.1065762652,TRUE
182591.390492738,2,2,3,1160674.62271946,TRUE
2233862.10453053,2,3,4,4852113.15318814,TRUE
11727374.553457,2,4,5,12170919.3470103,TRUE
14834596.1716256,2,5,6,23072306.3813909,TRUE
42010710.9202133,2,6,7,36632532.4208119,TRUE
79001264.1856218,2,7,8,51458824.4774029,TRUE
54512754.7889784,2,8,9,66081733.1449561,TRUE
90151655.6035859,2,9,10,79231603.6292843,TRUE
73628922.9205513,2,10,11,89984966.5165242,TRUE
122076402.584728,2,11,12,97804824.8477084,TRUE
171323452.272962,2,12,13,102032607.207478,TRUE
79997665.4232462,2,13,14,103343090.687875,TRUE
132630174.945246,2,14,15,102070457.57301,TRUE
69658347.9673446,2,15,16,98651553.8590856,TRUE
84921270.6261316,2,16,17,93562784.5425663,TRUE
121417647.557604,2,17,18,87273295.8090818,TRUE
149038845.287428,2,18,19,80213555.7221112,TRUE
113194896.196461,2,19,20,72756979.7018319,TRUE
54879243.908728,2,20,21,65211730.8954416,TRUE
87481828.7731895,2,21,22,57819879.3513583,TRUE
117249084.876542,2,22,23,50761456.3380285,TRUE
45889354.3850653,2,23,24,44161412.2236834,TRUE
30328345.6441553,2,24,25,37895321.4177547,TRUE
45457313.4468887,2,25,26,32274396.9128186,TRUE
21910168.3932424,2,26,27,27297140.5891503,TRUE
42399223.8257221,2,27,28,22939829.0515311,TRUE
19939798.6139083,2,28,29,19163723.0335679,TRUE
10516322.1062522,2,29,30,15920900.3646141,TRUE
21770695.0524401,2,30,31,13158800.0530731,TRUE
4522127.85280446,2,31,32,10823625.1040281,TRUE
1636038.74760246,2,32,33,8866414.49059513,TRUE
7326717.70066793,2,33,34,7234290.48866055,TRUE
5688242.1490629,2,34,35,5879758.21919806,TRUE
964250.7493385,2,35,36,4760713.40700542,TRUE
2887127.58723704,2,36,37,3840242.19101487,TRUE
1809341.2275404,2,37,38,3086289.16434105,TRUE
2231852.94387005,2,38,39,2471250.16743584,TRUE
530640.42883819,2,39,40,1971530.69851889,TRUE
133687.695263538,2,40,41,1567098.58535749,FALSE
8762.44108482924,3,1,3,88839.9869963596,TRUE
2186480.46100198,3,2,4,1292152.07002099,TRUE
3277677.66751765,3,3,5,5400706.05723393,TRUE
3799001.68657698,3,4,6,13544391.1334786,TRUE
47837995.2076292,3,5,7,25671047.7352939,TRUE
21538544.7247553,3,6,8,40750787.7625671,TRUE
38627329.6513167,3,7,9,57232854.7375842,TRUE
93358412.3376059,3,8,10,73482420.6662538,TRUE
93565525.9707304,3,9,11,88088042.158956,TRUE
77011697.4909137,3,10,12,100024169.165632,TRUE
142067991.963522,3,11,13,108171453.354456,TRUE
151591890.464122,3,12,14,112925503.262439,TRUE
92971045.0988369,3,13,15,114449233.993665,TRUE
66190430.8235776,3,14,16,113106516.883451,TRUE
104516059.863782,3,15,17,109376833.91742,TRUE
115278107.044534,3,16,18,103785369.418359,TRUE
158797653.039685,3,17,19,96850904.7184816,TRUE
115797909.074617,3,18,20,89050653.2138128,TRUE
74373798.7616375,3,19,21,80799517.6809754,TRUE
53333399.9111964,3,20,22,72440648.0924918,TRUE
84313271.4451324,3,21,23,64244211.3707928,TRUE
45273818.5844554,3,22,24,56411655.4820007,TRUE
63148723.6348096,3,23,25,48805908.4907652,TRUE
30212542.0642637,3,24,26,41880807.1620317,TRUE
27957093.9280264,3,25,27,35668724.8664777,TRUE
60702230.1881114,3,26,28,30168005.9257512,TRUE
13834164.7225101,3,27,29,25352431.933379,TRUE
37641895.2929583,3,28,30,21179189.3787557,TRUE
13776432.618314,3,29,31,17595316.0725514,TRUE
9974690.47632113,3,30,32,14542723.1354287,TRUE
34599015.4834971,3,31,33,11967477.8700034,TRUE
16416823.012351,3,32,34,9806946.86792738,TRUE
8967100.62086935,3,33,35,8003742.23613706,TRUE
947784.403696039,3,34,36,6506140.42090843,TRUE
3101351.69993592,3,35,37,5268151.71971791,TRUE
9958794.40349267,3,36,38,4249350.74089619,TRUE
1272367.72000602,3,37,39,3414552.26000224,TRUE
1999455.58792909,3,38,40,2733395.68267503,TRUE
750901.574879948,3,39,41,2178878.39209644,FALSE
1168157.1364202,3,40,42,1731911.78229459,FALSE
7087.83104057889,4,1,4,98922.5135892877,TRUE
494643.859579435,4,2,5,1438522.85505089,TRUE
6257415.12378192,4,3,6,6011324.34380232,TRUE
7730509.20586223,4,4,7,15072857.3533534,TRUE
21259176.1342753,4,5,8,28562497.434555,TRUE
25871030.903953,4,6,9,45332020.2980657,TRUE
41803693.3323565,4,7,10,63654770.482599,TRUE
47624792.226697,4,8,11,81711932.9350466,TRUE
122929314.173739,4,9,12,97934445.5490751,TRUE
109969727.462089,4,10,13,110628869.274703,TRUE
